"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Iowa","Backbone SP - Backbone Tr","BBBBT01","East Gate Rd",NA,"Trail","Public",NA,"BBEGR03, BBEGR04, NA",2024-04-02 09:40:37.954702,2024-04-03 09:20:37.541182,"EXISTING"
"Iowa","Backbone SP - Barred Owl Tr","BBBOT01","North Gate Rd","overlook","Trail","Public",NA,"BBNGR02, BBGR03, BBBOT02",2023-01-29 12:11:26.362751,2023-01-30 07:50:19.191759,"EXISTING"
"Iowa","Backbone SP - Barred Owl Tr","BBBOT02","overlook","North Gate Rd","Trail","Public",NA,"BBBOT01, BBNGR04, BBNGR05",2023-01-29 12:12:25.459097,2023-01-30 07:50:19.229105,"EXISTING"
"Iowa","Backbone SP - East Gate Rd","BBEGR01","East Gate","overlook","Paved","Public",NA,"NA, BBEGR02",2024-04-02 09:40:44.936438,2024-04-03 09:20:37.58416,"EXISTING"
"Iowa","Backbone SP - East Gate Rd","BBEGR02","overlook","East Lake Tr","Paved","Public",NA,"BBEGR01, BBEGR03, BBELK01",2024-04-02 09:40:50.545788,2024-04-03 09:20:37.625134,"EXISTING"
"Iowa","Backbone SP - East Gate Rd","BBEGR03","East Lake Tr","Backbone Tr","Paved","Public",NA,"BBEGR02, BBELK01, BBEGR04, BBBBT01",2024-04-02 09:40:56.046534,2024-04-03 09:20:37.664112,"EXISTING"
"Iowa","Backbone SP - East Gate Rd","BBEGR04","Backbone Tr","North Gate Rd","Paved","Public",NA,"BBEGR03, BBBBT01, BBNGR06",2024-04-02 09:41:02.38685,2024-04-03 09:20:37.706087,"EXISTING"
"Iowa","Backbone SP - East Lake Tr","BBELK01","East Gate Rd",NA,"Trail","Public","TBC","BBEGR02, BBEGR03, NA",2024-04-02 09:41:08.472992,2024-04-03 09:20:37.757057,"EXISTING"
"Iowa","Backbone SP - North Gate Rd","BBNGR01","North Gate","Richmond Springs trail","Paved","Public",NA,"NA, BBNGR02",2023-01-29 12:11:02.745518,2023-01-30 07:50:19.270657,"EXISTING"
"Iowa","Backbone SP - North Gate Rd","BBNGR02","Richmond Springs trail","Barred Owl trail [North]","Paved","Public",NA,"BBNGR01, BBNGR03",2023-01-29 12:12:43.219868,2023-01-30 07:50:19.301655,"EXISTING"
"Iowa","Backbone SP - North Gate Rd","BBNGR03","Barred Owl trail [North]","Cave trail","Paved","Public",NA,"BBNGR02, BBNGR04",2023-01-29 12:11:50.574009,2023-01-30 07:50:19.33263,"EXISTING"
"Iowa","Backbone SP - North Gate Rd","BBNGR04","Cave trail","Barred Owl trail [South]","Paved","Public",NA,"BBNGR03, BBNGR05",2023-01-29 12:11:59.680698,2023-01-30 07:50:19.3696,"EXISTING"
"Iowa","Backbone SP - North Gate Rd","BBNGR05","Barred Owl trail [South]","South Flats trail","Paved","Public",NA,"BBNGR04, BBNGR06",2023-01-29 12:12:08.768557,2023-01-30 07:50:19.423569,"EXISTING"
"Iowa","Backbone SP - North Gate Rd","BBNGR06","South Flats trail","East Gate Rd","Paved","Public",NA,"BBNGR05, BBEGR04",2023-01-29 12:12:17.215694,2023-01-30 07:50:19.452553,"EXISTING"
"Iowa","Backbone SP - South Flats Tr","BBSFT01","North Gate Rd","Six Pines Tr","Trail","Public",NA,"BBNGR05, BBNGR05, NA",2023-01-29 12:11:35.003721,2023-01-30 07:50:19.484488,"EXISTING"
"Iowa","Backbone SP - South Flats Tr","BBSFT02","Six Pines Tr","East Gate Rd","Trail","Public",NA,"NA, NA",2023-01-29 12:12:34.975136,2023-01-30 07:50:19.517221,"EXISTING"
"Iowa","Bighorn Rd","BHRN01","W51","US 56","Gravel","Public","Need from W51 to Pops'","NA, NA",2023-01-29 11:26:49.960756,2023-01-30 07:50:19.572195,"EXISTING"
