"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Switzerland","Riffelsee Trail","GORNERGRAT1","Riffelberg Train Station","small pond","2024","Public",NA,"NA, GORNERGRAT2",2024-11-06 09:06:10.669746,2024-11-06 09:07:40.288948,"EXISTING"
"Switzerland","Riffelsee Trail","GORNERGRAT2","small pond","Riffelsee Lake","2024","Public",NA,"GORNERGRAT1, GORNERGRAT3",2024-11-06 09:06:15.594446,2024-11-06 09:07:40.355354,"EXISTING"
"Switzerland","Ridge Trail","GORNERGRAT3","Riffelsee Lake","Alpine Garden Trail (from Rotobaden)","2024","Public",NA,"GORNERGRAT2, GORNERGRAT4",2024-11-06 09:06:20.662867,2024-11-06 09:07:40.391315,"EXISTING"
"Switzerland","Ridge Trail","GORNERGRAT4","Alpine Garden Trail (from Rotobaden)","Ridge Climb Crosscut Trail","2024","Public",NA,"GORNERGRAT3, GORNERGRAT5",2024-11-06 09:06:26.003218,2024-11-06 09:07:40.47327,"EXISTING"
"Switzerland","Ridge Climb Crosscut Trail","GORNERGRAT5","Ridge Trail","Gornergrat Hohtalli Trail","2024","Public",NA,"GORNERGRAT4, GORNERGRAT6",2024-11-06 09:06:30.852097,2024-11-06 09:07:40.527252,"EXISTING"
"Switzerland","Gornergrat Hohtalli Trail","GORNERGRAT6","Ridge Climb Crosscut Trail","Gornergrat Train Station","2024","Public",NA,"GORNERGRAT5, NA",2024-11-06 09:06:35.887444,2024-11-06 09:07:40.565218,"EXISTING"
"Switzerland","Zen Steckenstrasse","ZMUTT1","Zen Steckenstrasse bridge","Zmuttweg","2024","Public",NA,"ZMUTT9, ZMUTT2",2024-11-07 08:27:44.376183,NA,"NEW"
"Switzerland","Zmuttweg","ZMUTT2","Zen Steckenstrasse","Wigguhus","2024","Public",NA,"ZMUTT1, ZMUTT3",2024-11-07 08:27:49.461042,NA,"NEW"
"Switzerland","Zmuttweg","ZMUTT3","Wigguhus","Zmutt","2024","Public",NA,"ZMUTT2, ZMUTT4, ZMUTTA",2024-11-07 08:27:53.901043,NA,"NEW"
"Switzerland","Zmuttweg","ZMUTT4","Zmutt","Abi Rd","2024","Public",NA,"ZMUTT3, ZMUTTA, ZMUTT5",2024-11-07 08:27:59.428534,NA,"NEW"
"Switzerland","Ski Run Trail","ZMUTT5","Abi Rd","Abi Rd","2024","Public",NA,"ZMUTT4, ZMUTT6, ZMUTTB",2024-11-07 08:28:04.691626,NA,"NEW"
"Switzerland","Aroleit Trail","ZMUTT6","Abi Rd","Zum See","2024","Public",NA,"ZMUTT5, ZMUTTB, ZMUTT7",2024-11-07 08:28:09.679438,NA,"NEW"
"Switzerland","Aroleit Trail","ZMUTT7","Zum See","Blatten","2024","Public",NA,"ZMUTT6, ZMUTT8",2024-11-07 08:28:14.507469,NA,"NEW"
"Switzerland","Aroleit Trail","ZMUTT8","Blatten","Zen Steckenstrasse","2024","Public",NA,"ZMUTT7, ZMUTT9",2024-11-07 08:28:19.170372,NA,"NEW"
"Switzerland","Zen Steckenstrasse","ZMUTT9","Aroleit Trail","Zmuttweg","2024","Public",NA,"ZMUTT8, ZMUTT1",2024-11-07 08:28:23.621717,NA,"NEW"
"Switzerland","Zmutt spur","ZMUTTA","Zmuttweg","Zmutt museum","2024","Public",NA,"ZMUTT3, ZMUTT4, NA",2024-11-07 08:28:28.134222,NA,"NEW"
"Switzerland","Zmutt See spur","ZMUTTB","Aroleit Trail","Zmutt See restaurant","2024","Public",NA,"ZMUTT5, ZMUTT6, NA",2024-11-07 08:28:32.582001,NA,"NEW"
