trknum,trackID,Primary,From,To,Type,Ownership,Time,Latitude,Longitude,Distance,Elevation
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:01Z,36.9159816478238,-76.0403249786074,0,15.157480338
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:02Z,36.9159877,-76.0403043,0.00121866282066205,14.796587949
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:03Z,36.9159875451218,-76.0402934626515,0.00181882156259499,14.074803171
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:04Z,36.9159854006499,-76.0402787105019,0.00264892547509148,14.10761157
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:05Z,36.9159786,-76.040262,0.00368624120970485,14.76377955
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:06Z,36.9159751,-76.0402461,0.00459910682750953,15.452755929
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:07Z,36.91597,-76.0402266,0.00573465245824787,17.650918662
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:08Z,36.9159682448719,-76.0402116552765,0.00657094561732297,15.715223121
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:09Z,36.9159661003994,-76.0401989147837,0.00729171914672396,15.354330732
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:10Z,36.9159543057995,-76.0401881859476,0.00829889125398872,14.895013146
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:11Z,36.9159403667245,-76.0401855037386,0.0092714965169219,15.518372727
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:12Z,36.9159316,-76.0401867,0.00987964318424288,15.813648318
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:13Z,36.9159178,-76.0401827,0.0108566865655142,14.534120757
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:14Z,36.9159046,-76.0401671,0.0121115294464308,15.74803152
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:15Z,36.915897,-76.0401528,0.0130610493890124,15.846456717
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:16Z,36.9158876,-76.0401444,0.0138588501174165,15.879265116
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:17Z,36.9158712,-76.0401327,0.0151621588337834,17.355643071
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:18Z,36.915857,-76.0401148,0.0165554084310697,15.583989525
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:19Z,36.9158465459613,-76.0400849209005,0.0183600511149397,16.4041995
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:20Z,36.9158347513429,-76.0400574282581,0.020085971465843,15.255905535
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:21Z,36.9158272456756,-76.0400346294815,0.0214503237404712,14.862204747
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:22Z,36.9158201,-76.0400146,0.0226638950604324,15.288713934
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:23Z,36.9158079453851,-76.0399984196598,0.0238907372695459,15.977690313
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:24Z,36.9157897,-76.039989,0.0252527122179213,16.666666692
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:25Z,36.9157671,-76.0399911,0.0268154766740708,19.258530213
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:26Z,36.91575,-76.0399921,0.0279959440330128,17.093175879
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:27Z,36.9157373,-76.0399919,0.0288717704447847,16.666666692
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:28Z,36.9157264,-76.0399918,0.0296234242833603,17.421259869
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:29Z,36.9157157328187,-76.039985679167,0.0304333238942585,17.290026273
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:30Z,36.9157087632597,-76.0399749503309,0.031197445536278,18.208661445
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:31Z,36.9157049,-76.0399588,0.032130529591851,16.108923909
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:32Z,36.9156919,-76.0399439,0.033348832506897,16.371391101
1,VAVBCHBC1,Bald Cypress Trail,Visitor Center,Spur trail to pond,Trail,Public,2025-02-27T00:00:33Z,36.9156734,-76.0399318,0.0347897709363544,15.485564328
