"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Wisconsin","Bayfield Road Hiking Trail","BRBFLD01","leave Clevedon Rd parking lot","Bayfield Road Hiking Trail","Trail","Public",NA,"NA, BRBFLD02, BRBFLD06",2024-02-08 10:24:40.963598,2025-03-18 21:11:44.166559,"EXISTING"
"Wisconsin","Bayfield Road Hiking Trail","BRBFLD02","Bayfield Road Hiking Trail","Arrive Copper Range Spur","Trail","Public",NA,"BRBFLD01, BRBFLD06, BRBFLD03, BRCPRS01",2024-02-08 10:24:46.055744,2025-03-18 21:11:44.221533,"EXISTING"
"Wisconsin","Bayfield Road Hiking Trail","BRBFLD03","Leave Copper Range Spur","Arrive Percival Mine spur","Trail","Public",NA,"BRBFLD02, BRCPRS01, BRBFLD03a, BRBFLD04",2024-02-08 10:24:51.573978,2025-03-18 21:11:44.265505,"EXISTING"
"Wisconsin","Percival Mine Spur","BRBFLD03a","Leave Bayfield Road Hiking Trail","Arrive Percival Mine","Trail","Public",NA,"BRBFLD03, BRBFLD04, NA",2024-02-08 10:24:57.843212,2025-03-18 21:11:44.299492,"EXISTING"
"Wisconsin","Bayfield Road Hiking Trail","BRBFLD04","Leave Percival Mine spur","Arrive Lookout spur","Trail","Public",NA,"BRBFLD03, BRBFLD03a, BRBFLD04a, BRBFLD05",2024-02-08 10:25:02.983837,2025-03-18 21:11:44.345476,"EXISTING"
"Wisconsin","Lookout Spur","BRBFLD04a","Leave Bayfield Road Hiking Trail","Arrive Lookout","Trail","Public",NA,"BRBFLD04, BRBFLD05, NA",2024-02-08 10:25:08.57522,2025-03-18 21:11:44.382437,"EXISTING"
"Wisconsin","Bayfield Road Hiking Trail","BRBFLD05","Leave Lookout spur","Arrive fire tower spur","Trail","Public",NA,"BRBFLD04, BRBFLD04a, BRBFLD06",2024-02-08 10:25:13.624514,2025-03-18 21:11:44.443417,"EXISTING"
"Wisconsin","Bayfield Road Hiking Trail","BRBFLD06","Leave fire tower spur","Bayfield Road Hiking Trail","Trail","Public",NA,"BRBFLD05, BRBFLD01, BRBFLD02",2024-02-08 10:25:18.821196,2025-03-18 21:11:44.502382,"EXISTING"
"Wisconsin","Copper Range Spur","BRCPRS01","Leave Bayfield Road Hiking Trail","Enter old road grade","Trail","Public",NA,"BRBFLD02, BRBFLD03, BRCPRS02",2024-02-08 10:25:24.166636,2025-03-18 21:11:44.540359,"EXISTING"
"Wisconsin","Copper Range Spur","BRCPRS02","Enter old road grade","Leave old road grade","Trail","Public",NA,"BRCPRS01, BRCPRS03",2024-02-08 10:25:29.343609,2025-03-18 21:11:44.580322,"EXISTING"
"Wisconsin","Copper Range Spur","BRCPRS03","Leave old road grade","Enter old trail grade","Trail","Public",NA,"BRCPRS02, BRCPRS04",2024-02-08 10:25:34.682138,2025-03-18 21:11:44.620298,"EXISTING"
"Wisconsin","Copper Range Spur","BRCPRS04","Enter old trail grade","Enter old road grade","Trail","Public",NA,"BRCPRS03, BRCPRS05",2024-02-08 10:25:40.091883,2025-03-18 21:11:44.657293,"EXISTING"
"Wisconsin","Copper Range Spur","BRCPRS05","Enter old road grade","Leave old road grade","Trail","Public",NA,"BRCPRS04, BRCPRS06",2024-02-08 10:25:45.163973,2025-03-18 21:11:44.703251,"EXISTING"
"Wisconsin","Copper Range Spur","BRCPRS06","Leave old road grade","Cross hunter walking trail","Trail","Public",NA,"BRCPRS05, BRCPRS07, BRCPRS10",2024-02-08 10:25:50.144678,2025-03-18 21:11:44.747225,"EXISTING"
"Wisconsin","Copper Range Spur","BRCPRS07","Cross hunter walking trail","Fork to parking area or Brule River","Trail","Public",NA,"BRCPRS06, BRCPRS10, BRCPRS08, BRCPRS09",2024-02-08 10:25:55.120703,2025-03-18 21:11:44.783207,"EXISTING"
"Wisconsin","Copper Range Spur","BRCPRS08","Fork to parking area or Brule River","Arrive Brule River","Trail","Public",NA,"BRCPRS07, BRCPRS09, NA",2024-02-08 10:26:00.255453,2025-03-18 21:11:44.819187,"EXISTING"
"Wisconsin","Copper Range Spur","BRCPRS09","Fork to parking area or Brule River","Arrive Park Rd parking lot","Trail","Public",NA,"BRCPRS07, BRCPRS08, BRCPRS10",2024-02-08 10:26:05.494249,2025-03-18 21:11:44.87915,"EXISTING"
