"trknum","trackID","Primary","From","To","Type","Ownership","Time","Latitude","Longitude","Distance","Elevation"
1,"PCHOP01","Pichaco Peak Hike","Santa Fe Canyon Preserve Parking","Marker 29","2023","Public",2023-02-19 00:00:01,35.6865159846991,-105.895257955132,0,7328.674551822
1,"PCHOP01","Pichaco Peak Hike","Santa Fe Canyon Preserve Parking","Marker 29","2023","Public",2023-02-19 00:00:02,35.6865176758636,-105.895226081039,0.00179657430886643,7329.166677807
1,"PCHOP01","Pichaco Peak Hike","Santa Fe Canyon Preserve Parking","Marker 29","2023","Public",2023-02-19 00:00:03,35.6865142223405,-105.895185786208,0.00407546547872957,7330.019696181
1,"PCHOP01","Pichaco Peak Hike","Santa Fe Canyon Preserve Parking","Marker 29","2023","Public",2023-02-19 00:00:04,35.6865069829311,-105.895143208639,0.00652173620498365,7331.824158126
1,"PCHOP01","Pichaco Peak Hike","Santa Fe Canyon Preserve Parking","Marker 29","2023","Public",2023-02-19 00:00:05,35.6864900439321,-105.895101359287,0.00914936799517767,7334.153554455
1,"PCHOP01","Pichaco Peak Hike","Santa Fe Canyon Preserve Parking","Marker 29","2023","Public",2023-02-19 00:00:06,35.6864681020295,-105.895057558894,0.0120403326916792,7333.497386475
1,"PCHOP01","Pichaco Peak Hike","Santa Fe Canyon Preserve Parking","Marker 29","2023","Public",2023-02-19 00:00:07,35.6864321678873,-105.895033632543,0.0148596618591653,7334.64568044
1,"PCHOP01","Pichaco Peak Hike","Santa Fe Canyon Preserve Parking","Marker 29","2023","Public",2023-02-19 00:00:08,35.6863969356959,-105.895024835189,0.01733856175039,7336.843843173
1,"PCHOP01","Pichaco Peak Hike","Santa Fe Canyon Preserve Parking","Marker 29","2023","Public",2023-02-19 00:00:09,35.6863570041376,-105.895012611166,0.0201761210049283,7338.746730315
1,"PCHOP01","Pichaco Peak Hike","Santa Fe Canyon Preserve Parking","Marker 29","2023","Public",2023-02-19 00:00:10,35.6863427155603,-105.89497648275,0.0224343865762249,7337.171927163
1,"PCHOP01","Pichaco Peak Hike","Santa Fe Canyon Preserve Parking","Marker 29","2023","Public",2023-02-19 00:00:11,35.6863395167877,-105.894930450535,0.0250328906734578,7334.219171253
1,"PCHOP01","Pichaco Peak Hike","Santa Fe Canyon Preserve Parking","Marker 29","2023","Public",2023-02-19 00:00:12,35.6863436382946,-105.894885897068,0.0275549042309397,7332.808410096
